date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20230101,01/01/2023,2023,January,Q1,Sunday,TRUE,FALSE,
20230102,01/02/2023,2023,January,Q1,Monday,FALSE,FALSE,
20230103,01/03/2023,2023,January,Q1,Tuesday,FALSE,FALSE,
20230104,01/04/2023,2023,January,Q1,Wednesday,FALSE,FALSE,
20230105,01/05/2023,2023,January,Q1,Thursday,FALSE,FALSE,
20230106,01/06/2023,2023,January,Q1,Friday,FALSE,FALSE,
20230107,01/07/2023,2023,January,Q1,Saturday,TRUE,FALSE,
20230108,01/08/2023,2023,January,Q1,Sunday,TRUE,FALSE,
20230109,01/09/2023,2023,January,Q1,Monday,FALSE,FALSE,
20230110,01/10/2023,2023,January,Q1,Tuesday,FALSE,FALSE,
20230111,01/11/2023,2023,January,Q1,Wednesday,FALSE,FALSE,
20230112,01/12/2023,2023,January,Q1,Thursday,FALSE,FALSE,
20230113,1/13/2023,2023,January,Q1,Friday,FALSE,FALSE,
20230114,1/14/2023,2023,January,Q1,Saturday,TRUE,FALSE,
20230115,1/15/2023,2023,January,Q1,Sunday,TRUE,FALSE,
20230116,1/16/2023,2023,January,Q1,Monday,FALSE,FALSE,
20230117,1/17/2023,2023,January,Q1,Tuesday,FALSE,FALSE,
20230118,1/18/2023,2023,January,Q1,Wednesday,FALSE,FALSE,
20230119,1/19/2023,2023,January,Q1,Thursday,FALSE,FALSE,
20230120,1/20/2023,2023,January,Q1,Friday,FALSE,FALSE,
20230121,1/21/2023,2023,January,Q1,Saturday,TRUE,FALSE,
20230122,1/22/2023,2023,January,Q1,Sunday,TRUE,FALSE,
20230123,1/23/2023,2023,January,Q1,Monday,FALSE,FALSE,
20230124,1/24/2023,2023,January,Q1,Tuesday,FALSE,FALSE,
20230125,1/25/2023,2023,January,Q1,Wednesday,FALSE,FALSE,
20230126,1/26/2023,2023,January,Q1,Thursday,FALSE,FALSE,
20230127,1/27/2023,2023,January,Q1,Friday,FALSE,FALSE,
20230128,1/28/2023,2023,January,Q1,Saturday,TRUE,FALSE,
20230129,1/29/2023,2023,January,Q1,Sunday,TRUE,FALSE,
20230130,1/30/2023,2023,January,Q1,Monday,FALSE,FALSE,
20230131,1/31/2023,2023,January,Q1,Tuesday,FALSE,TRUE,
20230201,02/01/2023,2023,February,Q1,Wednesday,FALSE,FALSE,
20230202,02/02/2023,2023,February,Q1,Thursday,FALSE,FALSE,
20230203,02/03/2023,2023,February,Q1,Friday,FALSE,FALSE,
20230204,02/04/2023,2023,February,Q1,Saturday,TRUE,FALSE,
20230205,02/05/2023,2023,February,Q1,Sunday,TRUE,FALSE,
20230206,02/06/2023,2023,February,Q1,Monday,FALSE,FALSE,
20230207,02/07/2023,2023,February,Q1,Tuesday,FALSE,FALSE,
20230208,02/08/2023,2023,February,Q1,Wednesday,FALSE,FALSE,
20230209,02/09/2023,2023,February,Q1,Thursday,FALSE,FALSE,
20230210,02/10/2023,2023,February,Q1,Friday,FALSE,FALSE,
20230211,02/11/2023,2023,February,Q1,Saturday,TRUE,FALSE,
20230212,02/12/2023,2023,February,Q1,Sunday,TRUE,FALSE,
20230213,2/13/2023,2023,February,Q1,Monday,FALSE,FALSE,
20230214,2/14/2023,2023,February,Q1,Tuesday,FALSE,FALSE,
20230215,2/15/2023,2023,February,Q1,Wednesday,FALSE,FALSE,
20230216,2/16/2023,2023,February,Q1,Thursday,FALSE,FALSE,
20230217,2/17/2023,2023,February,Q1,Friday,FALSE,FALSE,
20230218,2/18/2023,2023,February,Q1,Saturday,TRUE,FALSE,
20230219,2/19/2023,2023,February,Q1,Sunday,TRUE,FALSE,
20230220,2/20/2023,2023,February,Q1,Monday,FALSE,FALSE,
20230221,2/21/2023,2023,February,Q1,Tuesday,FALSE,FALSE,
20230222,2/22/2023,2023,February,Q1,Wednesday,FALSE,FALSE,
20230223,2/23/2023,2023,February,Q1,Thursday,FALSE,FALSE,
20230224,2/24/2023,2023,February,Q1,Friday,FALSE,FALSE,
20230225,2/25/2023,2023,February,Q1,Saturday,TRUE,FALSE,
20230226,2/26/2023,2023,February,Q1,Sunday,TRUE,FALSE,
20230227,2/27/2023,2023,February,Q1,Monday,FALSE,FALSE,
20230228,2/28/2023,2023,February,Q1,Tuesday,FALSE,TRUE,
20230301,03/01/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230302,03/02/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230303,03/03/2023,2023,March,Q1,Friday,FALSE,FALSE,
20230304,03/04/2023,2023,March,Q1,Saturday,TRUE,FALSE,
20230305,03/05/2023,2023,March,Q1,Sunday,TRUE,FALSE,
20230306,03/06/2023,2023,March,Q1,Monday,FALSE,FALSE,
20230307,03/07/2023,2023,March,Q1,Tuesday,FALSE,FALSE,
20230308,03/08/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230309,03/09/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230310,03/10/2023,2023,March,Q1,Friday,FALSE,FALSE,
20230311,03/11/2023,2023,March,Q1,Saturday,TRUE,FALSE,
20230312,03/12/2023,2023,March,Q1,Sunday,TRUE,FALSE,
20230313,3/13/2023,2023,March,Q1,Monday,FALSE,FALSE,
20230314,3/14/2023,2023,March,Q1,Tuesday,FALSE,FALSE,
20230315,3/15/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230316,3/16/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230317,3/17/2023,2023,March,Q1,Friday,FALSE,FALSE,
20230318,3/18/2023,2023,March,Q1,Saturday,TRUE,FALSE,
20230319,3/19/2023,2023,March,Q1,Sunday,TRUE,FALSE,
20230320,3/20/2023,2023,March,Q1,Monday,FALSE,FALSE,
20230321,3/21/2023,2023,March,Q1,Tuesday,FALSE,FALSE,
20230322,3/22/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230323,3/23/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230324,3/24/2023,2023,March,Q1,Friday,FALSE,FALSE,
20230325,3/25/2023,2023,March,Q1,Saturday,TRUE,FALSE,
20230326,3/26/2023,2023,March,Q1,Sunday,TRUE,FALSE,
20230327,3/27/2023,2023,March,Q1,Monday,FALSE,FALSE,
20230328,3/28/2023,2023,March,Q1,Tuesday,FALSE,FALSE,
20230329,3/29/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230330,3/30/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230331,3/31/2023,2023,March,Q1,Friday,FALSE,TRUE,
20230401,04/01/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230402,04/02/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230403,04/03/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230404,04/04/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230405,04/05/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230406,04/06/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230407,04/07/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230408,04/08/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230409,04/09/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230410,04/10/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230411,04/11/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230412,04/12/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230413,4/13/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230414,4/14/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230415,4/15/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230416,4/16/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230417,4/17/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230418,4/18/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230419,4/19/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230420,4/20/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230421,4/21/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230422,4/22/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230423,4/23/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230424,4/24/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230425,4/25/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230426,4/26/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
